Abella de la Conca;0.000;0;0.000;0;0.000;1147.302;10
Abrera;985.690;14;0.000;0;985.690;62796.637;301
Àger;0.000;0;427.981;9;427.981;11571.762;104
Agramunt;2285.573;45;0.000;0;2285.573;32561.096;251
Aguilar de Segarra;0.000;0;0.000;0;0.000;570.846;5
Agullana;0.000;0;0.000;0;0.000;6231.962;55
Aiguafreda;345.929;10;53.543;2;399.473;14626.822;98
Aiguamúrcia;1241.587;6;66.317;2;1307.904;20113.401;84
Aiguaviva;138.331;2;69.419;1;207.751;11124.016;61
Aitona;2461.498;15;0.000;0;2461.498;9197.996;60
Alàs i Cerc;0.000;0;0.000;0;0.000;4822.083;58
Albanyà;0.000;0;0.000;0;0.000;1609.993;23
Albatàrrec;410.014;11;0.000;0;410.014;9978.130;55
Albesa;1835.267;12;0.000;0;1835.267;10205.898;65
Albinyana;0.000;0;17.730;1;17.730;22896.973;145
Albons;29.678;1;0.000;0;29.678;8471.972;75
Alcanar;68.179;1;241.458;2;309.637;59220.581;383
Alcanó;802.366;11;0.000;0;802.366;2492.472;27
Alcarràs;1562.250;8;0.000;0;1562.250;30260.010;163
Alcoletge;4080.790;40;0.000;0;4080.790;18186.452;118
Alcover;1295.860;34;391.532;17;1687.391;30408.977;244
Aldover;0.000;0;0.000;0;0.000;2877.867;28
Alella;242.854;4;0.000;0;242.854;61288.383;308
Alfara de Carles;0.000;0;296.690;10;296.690;2491.420;32
Alfarràs;0.000;0;0.000;0;0.000;11301.477;92
Alfés;0.000;0;88.494;2;88.494;2743.622;27
Alforja;3333.111;33;0.000;0;3333.111;16084.305;107
Algerri;0.000;0;234.402;6;234.402;4371.304;37
Alguaire;4704.740;48;0.000;0;4704.740;18163.658;125
Alins;0.000;0;11.287;1;11.287;4408.979;51
Alió;0.000;0;0.000;0;0.000;4743.623;41
Almacelles;969.128;7;0.000;0;969.128;30931.305;128
Almatret;1297.342;5;0.000;0;1297.342;3399.703;24
Almenar;954.234;8;752.588;9;1706.822;16975.177;126
Almoster;115.724;3;132.453;4;248.176;10982.062;65
Alòs de Balaguer;0.000;0;92.212;4;92.212;1906.791;19
Alp;173.974;3;52.463;3;226.437;21510.536;118
Alpens;0.000;0;693.423;13;693.423;3797.757;42
Alpicat;3927.113;37;0.000;0;3927.113;35990.898;198
Altafulla;536.078;10;0.000;0;536.078;31612.115;194
Alt Àneu;0.000;0;1745.665;25;1745.665;8450.673;139
Amer;0.000;0;34.146;2;34.146;9756.679;87
Amposta;458.619;4;0.000;0;458.619;87607.800;427
Anglès;0.000;0;534.427;7;534.427;18138.468;138
Anglesola;1189.567;8;0.000;0;1189.567;10271.979;69
Arbeca;520.494;16;76.117;2;596.611;20836.322;133
Arbolí;0.000;0;188.948;4;188.948;867.179;11
Arbúcies;0.000;0;0.000;0;0.000;24834.619;121
Arenys de Mar;318.902;6;0.000;0;318.902;41486.106;250
Arenys de Munt;4319.834;30;0.000;0;4319.834;39654.094;189
Argelaguer;0.000;0;625.199;6;625.199;4288.254;33
Argençola;0.000;0;0.000;0;0.000;3594.487;34
Argentona;4534.605;37;274.818;4;4809.422;60840.749;293
Arnes;0.000;0;0.000;0;0.000;4232.642;58
Arres;0.000;0;184.998;8;184.998;1136.687;27
Arsèguel;0.000;0;0.000;0;0.000;1123.189;14
Artés;93.152;1;67.368;3;160.520;25116.121;159
Artesa de Lleida;0.000;0;0.000;0;0.000;8468.765;67
Artesa de Segre;861.870;20;1818.950;26;2680.819;24964.921;279
Ascó;2304.354;12;475.839;12;2780.193;10256.586;86
Aspa;8.841;1;417.348;5;426.189;2293.271;27
Avià;54.986;1;229.663;2;284.648;9246.098;62
Avinyó;123.653;1;44.410;1;168.062;13058.653;91
Avinyonet del Penedès;0.000;0;0.000;0;0.000;16631.292;113
Avinyonet de Puigventós;0.000;0;0.000;0;0.000;9975.795;67
Badalona;0.000;0;0.000;0;0.000;235122.466;1612
Badia del Vallès;56.990;1;0.000;0;56.990;4698.316;35
Bagà;0.000;0;0.000;0;0.000;7478.536;72
Baix Pallars;0.000;0;0.000;0;0.000;3005.817;51
Balaguer;4935.792;52;0.000;0;4935.792;47017.437;324
Balenyà;512.048;14;0.000;0;512.048;16500.442;124
Balsareny;53.925;1;0.000;0;53.925;12788.368;98
Banyeres del Penedès;0.000;0;0.000;0;0.000;30099.099;179
Banyoles;0.000;0;253.958;2;253.958;67958.498;511
Barbens;2108.313;16;0.000;0;2108.313;6539.778;43
Barberà de la Conca;355.864;2;0.000;0;355.864;5698.090;56
Barberà del Vallès;2013.430;23;78.995;1;2092.425;77705.060;450
Barcelona;252.216;10;0.000;0;252.216;841299.776;5739
Bàscara;0.000;0;0.000;0;0.000;10028.999;76
Bassella;0.000;0;0.000;0;0.000;1112.339;14
Batea;0.000;0;0.000;0;0.000;9759.017;95
Bausen;0.000;0;0.000;0;0.000;1100.297;22
Begues;58.395;1;0.000;0;58.395;52653.766;294
Begur;114.901;3;364.181;5;479.082;95216.304;424
Belianes;933.341;17;0.000;0;933.341;4982.037;52
Bellaguarda;304.429;2;0.000;0;304.429;2156.454;20
Bellcaire d'Empordà;0.000;0;0.000;0;0.000;6357.113;39
Bellcaire d'Urgell;0.000;0;0.000;0;0.000;10910.230;77
Bell-lloc d'Urgell;976.475;12;0.000;0;976.475;21739.588;139
Bellmunt del Priorat;0.000;0;0.000;0;0.000;2561.833;26
Bellmunt d'Urgell;0.000;0;0.000;0;0.000;3195.239;25
Bellprat;0.000;0;0.000;0;0.000;1075.609;15
Bellpuig;6827.421;59;108.196;2;6935.617;21933.267;180
Bellvei;0.000;0;75.917;3;75.917;25406.786;122
Bellver de Cerdanya;78.783;2;1870.312;19;1949.095;29947.209;231
Bellvís;667.490;16;40.434;1;707.924;17002.047;125
Benavent de Segrià;952.848;14;0.000;0;952.848;4559.099;48
Benifallet;0.000;0;0.000;0;0.000;4603.389;54
Benissanet;569.055;5;0.000;0;569.055;5517.496;51
Berga;132.089;4;91.957;4;224.046;40785.802;286
Besalú;0.000;0;0.000;0;0.000;18145.386;132
Bescanó;0.000;0;215.178;2;215.178;40824.597;202
Beuda;0.000;0;0.000;0;0.000;243.907;4
Bigues i Riells;3656.222;39;191.735;3;3847.957;113692.709;335
Biosca;0.000;0;0.000;0;0.000;2515.771;36
Biure;0.000;0;0.000;0;0.000;2258.318;26
Blancafort;915.434;19;0.000;0;915.434;4024.376;54
Blanes;307.971;4;0.000;0;307.971;84965.764;561
